Feature,Importance
Absences,0.3317202565047646
StudyEfficiency,0.22709581866278322
ParentStudyInteraction,0.07243163113081455
AcademicBalance,0.06892808815153696
StudyTimeWeekly,0.068595780748869
AcademicInvolvement,0.0685046042664254
ParentalSupport,0.031254178134128424
ParentalEducation,0.02417300362324825
Age,0.02316478176372665
Extracurricular,0.015782096258704758
ExtracurricularIntensity,0.01575000655508963
Tutoring,0.015609878371012173
Sports,0.011158663277786663
Gender,0.01058826039514743
Volunteering,0.008030327048587171
Music,0.007212625107375122
